[DEBUG @ 01:37:59 | IPA/LibraryLoader] Resolving library 0Harmony, Version=2.10.2.0, Culture=neutral, PublicKeyToken=null
[DEBUG @ 01:38:04 | IPA/Loader] Adding info for BeatTogether.dll
[DEBUG @ 01:38:05 | IPA/Loader] Adding info for BetterSongList.dll
[DEBUG @ 01:38:05 | IPA/Loader] Adding info for BetterSongSearch.dll
[DEBUG @ 01:38:06 | IPA/Loader] Adding info for BSML.dll
[DEBUG @ 01:38:06 | IPA/Loader] Adding info for bsrpc.dll
[DEBUG @ 01:38:06 | IPA/Loader] Adding info for BS_Utils.dll
[DEBUG @ 01:38:07 | IPA/Loader] Adding info for CameraUtils.dll
[DEBUG @ 01:38:07 | IPA/Loader] Adding info for Chirality.dll
[DEBUG @ 01:38:08 | IPA/Loader] Adding info for Chroma.dll
[DEBUG @ 01:38:08 | IPA/Loader] Adding info for Counters+.dll
[DEBUG @ 01:38:09 | IPA/Loader] Adding info for CustomJSONData.dll
[DEBUG @ 01:38:09 | IPA/Loader] Adding info for CustomNotes.dll
[DEBUG @ 01:38:09 | IPA/Loader] Adding info for CustomSaberColors.dll
[DEBUG @ 01:38:10 | IPA/Loader] Adding info for CustomSabersLite.dll
[DEBUG @ 01:38:10 | IPA/Loader] Adding info for CustomWalls.dll
[DEBUG @ 01:38:10 | IPA/Loader] Adding info for DataPuller.dll
[DEBUG @ 01:38:14 | IPA/Loader] Adding info for DiscordCore.dll
[DEBUG @ 01:38:14 | IPA/Loader] Adding info for EasyOffset.dll
[DEBUG @ 01:38:14 | IPA/Loader] Adding info for Enhancements.dll
[DEBUG @ 01:38:14 | IPA/Loader] Adding info for FCPercentage.dll
[WARNING @ 01:38:14 | IPA/Loader/Features] Encountered old features used. They no longer do anything, please move to the new format.
[DEBUG @ 01:38:14 | IPA/Loader] Adding info for GottaGoFast.dll
[DEBUG @ 01:38:15 | IPA/Loader] Adding info for Heck.dll
[DEBUG @ 01:38:15 | IPA/Loader] Adding info for HighlightBombs.dll
[INFO @ 01:38:15 | IPA/Injector] Applying anti-yeet patch
[DEBUG @ 01:38:15 | IPA/Loader] Adding info for HitScoreVisualizer.dll
[DEBUG @ 01:38:16 | IPA/Loader] Adding info for IForgor.dll
[DEBUG @ 01:38:16 | IPA/Loader] Adding info for IntroSkip.dll
[DEBUG @ 01:38:16 | IPA/Loader] Adding info for JDFixer.dll
[DEBUG @ 01:38:16 | IPA/Loader] Adding info for KeepMyOverridesPls.dll
[DEBUG @ 01:38:17 | IPA/Loader] Adding info for LeaderboardCore.dll
[DEBUG @ 01:38:17 | IPA/Loader] Adding info for MappingExtensions.dll
[DEBUG @ 01:38:17 | IPA/Loader] Adding info for MenuSaberColors.dll
[DEBUG @ 01:38:18 | IPA/Loader] Adding info for MultiplayerCore.dll
[DEBUG @ 01:38:18 | IPA/Loader] Adding info for MultiplayerMirror.dll
[DEBUG @ 01:38:19 | IPA/Loader] Adding info for NoodleExtensions.dll
[DEBUG @ 01:38:19 | IPA/Loader] Adding info for NoteCutGuide.dll
[DEBUG @ 01:38:19 | IPA/Loader] Adding info for ParticleOverdrive.dll
[DEBUG @ 01:38:19 | IPA/Loader] Adding info for PBOT.dll
[DEBUG @ 01:38:19 | IPA/Loader] Adding info for PlaylistManager.dll
[DEBUG @ 01:38:20 | IPA/Loader] Adding info for PPCounter.dll
[DEBUG @ 01:38:20 | IPA/Loader] Adding info for ScoreSaber.dll
[DEBUG @ 01:38:20 | IPA/Loader] Adding info for SimpleClock.dll
[DEBUG @ 01:38:21 | IPA/Loader] Adding info for SiraUtil.dll
[DEBUG @ 01:38:21 | IPA/Loader] Adding info for SliceDetails.dll
[DEBUG @ 01:38:21 | IPA/Loader] Adding info for SM64BS.dll
[DEBUG @ 01:38:22 | IPA/Loader] Adding info for SongCore.dll
[DEBUG @ 01:38:22 | IPA/Loader] Adding info for SongPlayHistory.dll
[DEBUG @ 01:38:22 | IPA/Loader] Adding info for SongRankedBadge.dll
[DEBUG @ 01:38:22 | IPA/Loader] Adding info for TimeSyncStutterFix.dll
[DEBUG @ 01:38:23 | IPA/Loader] Adding info for Tweaks55.dll
[DEBUG @ 01:38:23 | IPA/Loader] Adding info for WhyIsThereNoLeaderboard.dll
[DEBUG @ 01:38:23 | IPA/Loader] Adding info for bare manifest BeatSaberPlaylistsLib.manifest
[DEBUG @ 01:38:23 | IPA/Loader] Adding info for bare manifest BeatSaverSharp.manifest
[DEBUG @ 01:38:23 | IPA/Loader] Adding info for bare manifest DiscordGameSDK.manifest
[DEBUG @ 01:38:23 | IPA/Loader] Adding info for bare manifest INIParser.manifest
[DEBUG @ 01:38:23 | IPA/Loader] Adding info for bare manifest LookupID.manifest
[DEBUG @ 01:38:23 | IPA/Loader] Adding info for bare manifest protobuf-net.manifest
[WARNING @ 01:38:23 | IPA/Loader/Features] Encountered old features used. They no longer do anything, please move to the new format.
[WARNING @ 01:38:23 | IPA/Loader] Bare manifest ScoreSaberSharp.manifest does not declare any files. Dependency resolution and verification cannot be completed.
[DEBUG @ 01:38:23 | IPA/Loader] Adding info for bare manifest ScoreSaberSharp.manifest
[DEBUG @ 01:38:23 | IPA/Loader] Adding info for bare manifest SixLabors.ImageSharp.manifest
[DEBUG @ 01:38:23 | IPA/Loader] Adding info for bare manifest SongDetailsCache.manifest
[DEBUG @ 01:38:23 | IPA/Loader] Adding info for bare manifest System.IO.Compression.FileSystem.manifest
[DEBUG @ 01:38:23 | IPA/Loader] Adding info for bare manifest System.IO.Compression.manifest
[DEBUG @ 01:38:23 | IPA/Loader] Adding info for bare manifest websocket-sharp.manifest
[INFO @ 01:38:23 | IPA/Loader] Loading metadata took 00:00:21.3343543
[DEBUG @ 01:38:23 | IPA/Loader/Features] Executing DefineFeature Init
[DEBUG @ 01:38:23 | IPA/Loader/Features] Executing DefineFeature Init
[DEBUG @ 01:38:23 | IPA/Loader/Features] Executing DefineFeature Init
[WARNING @ 01:38:23 | IPA/Loader/Features] No such feature SiraLocalizer.LocalizedPlugin
[INFO @ 01:38:23 | IPA/Loader] Calculating load order took 00:00:00.0199021
[DEBUG @ 01:38:23 | IPA/Config] Generated impl WriteTo IPA.Loader.DisabledConfig<Generated>
[DEBUG @ 01:38:23 | IPA] Plugins loaded
[DEBUG @ 01:38:23 | IPA] Beat Saber IPA(BSIPA@4.3.5)() from 'IPA.exe', BeatSaberMarkupLanguage(BeatSaberMarkupLanguage@1.12.3+bs.1.37.4)(BeatSaberMarkupLanguage.Plugin) from 'Plugins\BSML.dll', SiraUtil(SiraUtil@3.1.12)(SiraUtil.Plugin) from 'Plugins\SiraUtil.dll', JDFixer(JDFixer@7.3.0)(JDFixer.Plugin) from 'Plugins\JDFixer.dll', System.IO.Compression(System.IO.Compression@4.6.57)() from 'Plugins\System.IO.Compression.manifest', System.IO.Compression.FileSystem(System.IO.Compression.FileSystem@4.7.3056)() from 'Plugins\System.IO.Compression.FileSystem.manifest', SongCore(SongCore@3.14.15)(SongCore.Plugin) from 'Plugins\SongCore.dll', INI Parser(Ini Parser@2.5.9)() from 'Plugins\INIParser.manifest', BS_Utils(BS Utils@1.14.1)(BS_Utils.Plugin) from 'Plugins\BS_Utils.dll', Chirality(Chirality@4.0.900)(Chirality.Plugin) from 'Plugins\Chirality.dll', Intro Skip(IntroSkip@4.0.6)(IntroSkip.Plugin) from 'Plugins\IntroSkip.dll', HitScoreVisualizer(HitScoreVisualizer@3.5.0)(HitScoreVisualizer.Plugin) from 'Plugins\HitScoreVisualizer.dll', BeatSaverSharp(BeatSaverSharp@3.4.5)() from 'Plugins\BeatSaverSharp.manifest', ScoreSaber(ScoreSaber@3.3.15)(ScoreSaber.Plugin) from 'Plugins\ScoreSaber.dll', DiscordGameSDK(DiscordGameSDK@3.2.1)() from 'Plugins\DiscordGameSDK.manifest', protobuf-net(protobuf-net@3.0.102)() from 'Plugins\protobuf-net.manifest', Enhancements(Enhancements@3.0.16)(Enhancements.Plugin) from 'Plugins\Enhancements.dll', DiscordCore(DiscordCore@3.0.6)(DiscordCore.Plugin) from 'Plugins\DiscordCore.dll', CustomJSONData(CustomJSONData@2.6.4+1.37.5)(CustomJSONData.Plugin) from 'Plugins\CustomJSONData.dll', Heck(_Heck@1.6.6+1.38.0)(Heck.Plugin) from 'Plugins\Heck.dll', LookupID(LookupID@1.0.1)() from 'Plugins\LookupID.manifest', Chroma(Chroma@2.9.7+1.38.0)(Chroma.Plugin) from 'Plugins\Chroma.dll', AssetBundleLoadingTools(AssetBundleLoadingTools@1.1.10+bs.1.37.4)(AssetBundleLoadingTools.Plugin) from 'Plugins\AssetBundleLoadingTools.dll', CameraUtils(CameraUtils@1.0.7)(CameraUtils.Plugin) from 'Plugins\CameraUtils.dll', CustomNotes(CustomNotes@2.6.8)(CustomNotes.Plugin) from 'Plugins\CustomNotes.dll', BeatSaverVoting(BeatSaverVoting@2.4.6)(BeatSaverVoting.Plugin) from 'Plugins\BeatSaverVoting.dll', Counters+(Counters+@2.3.10)(CountersPlus.Plugin) from 'Plugins\Counters+.dll', MultiplayerCore(MultiplayerCore@1.5.4)(MultiplayerCore.Plugin) from 'Plugins\MultiplayerCore.dll', BeatTogether(BeatTogether@2.2.1)(BeatTogether.Plugin) from 'Plugins\BeatTogether.dll', websocket-sharp(websocket-sharp@1.0.4)() from 'Plugins\websocket-sharp.manifest', BetterSongList(BetterSongList@0.4.1)(BetterSongList.Plugin) from 'Plugins\BetterSongList.dll', SongDetailsCache(SongDetailsCache@1.2.2)() from 'Plugins\SongDetailsCache.manifest', DataPuller(DataPuller@2.1.15)(DataPuller.Plugin) from 'Plugins\DataPuller.dll', EasyOffset(EasyOffset@2.1.14)(EasyOffset.Plugin) from 'Plugins\EasyOffset.dll', SongPlayHistory(SongPlayHistory@2.1.6)(SongPlayHistory.Plugin) from 'Plugins\SongPlayHistory.dll', LeaderboardCore(LeaderboardCore@1.7.0)(LeaderboardCore.Plugin) from 'Plugins\LeaderboardCore.dll', NoodleExtensions(NoodleExtensions@1.7.3+1.37.5)(NoodleExtensions.Plugin) from 'Plugins\NoodleExtensions.dll', BeatLeader(BeatLeader@0.9.28)(BeatLeader.Plugin) from 'Plugins\BeatLeader.dll', PPCounter(PPCounter@2.0.6)(PPCounter.Plugin) from 'Plugins\PPCounter.dll', ImageSharp(SixLabors.ImageSharp@2.0.0)() from 'Plugins\SixLabors.ImageSharp.manifest', ParticleOverdrive(ParticleOverdrive@1.13.1)(ParticleOverdrive.Plugin) from 'Plugins\ParticleOverdrive.dll', MappingExtensions(MappingExtensions@1.7.5)(MappingExtensions.Plugin) from 'Plugins\MappingExtensions.dll', BeatSaberPlaylistsLib(BeatSaberPlaylistsLib@1.7.2)() from 'Plugins\BeatSaberPlaylistsLib.manifest', PlaylistManager(PlaylistManager@1.7.3)(PlaylistManager.Plugin) from 'Plugins\PlaylistManager.dll', CustomWalls(CustomWalls@1.6.4)(CustomWalls.Plugin) from 'Plugins\CustomWalls.dll', FCPercentage(FCPercentage@1.4.9)(FCPercentage.Plugin) from 'Plugins\FCPercentage.dll', IForgor(I Forgor@1.4.1)(IForgor.Plugin) from 'Plugins\IForgor.dll', SliceDetails(SliceDetails@1.3.6)(SliceDetails.Plugin) from 'Plugins\SliceDetails.dll', MultiplayerMirror(MultiplayerMirror@1.3.0)(MultiplayerMirror.Plugin) from 'Plugins\MultiplayerMirror.dll', BeatSaverUpdater(BeatSaverUpdater@1.2.10)(BeatSaverUpdater.Plugin) from 'Plugins\BeatSaverUpdater.dll', bsrpc(bsrpc@1.2.1)(bsrpc.Plugin) from 'Plugins\bsrpc.dll', KeepMyOverridesPls(KeepMyOverridesPls@1.1.2)(KeepMyOverridesPls.Plugin) from 'Plugins\KeepMyOverridesPls.dll', MenuSaberColors(MenuSaberColors@1.0.11)(MenuSaberColors.Plugin) from 'Plugins\MenuSaberColors.dll', AdBlocker(AdBlocker@1.0.5)(AdBlocker.Plugin) from 'Plugins\AdBlocker.dll', PBOT(PBOT@1.0.4)(PBOT.Plugin) from 'Plugins\PBOT.dll', SongRankedBadge(SongRankedBadge@1.0.4)(SongRankedBadge.Plugin) from 'Plugins\SongRankedBadge.dll', WhyIsThereNoLeaderboard(WhyIsThereNoLeaderboard@1.0.3)(WhyIsThereNoLeaderboard.Plugin) from 'Plugins\WhyIsThereNoLeaderboard.dll', HighlightBombs(HighlightBombs@1.0.3)(HighlightBombs.Plugin) from 'Plugins\HighlightBombs.dll', TimeSyncStutterFix(TimeSyncStutterFix@1.0.0+bs.1.37.2)(TimeSyncStutterFix.Plugin) from 'Plugins\TimeSyncStutterFix.dll', SimpleClock(SimpleClock@1.0.0)(SimpleClock.Plugin) from 'Plugins\SimpleClock.dll', CustomSabersLite(CustomSabersLite@0.13.2)(CustomSabersLite.Plugin) from 'Plugins\CustomSabersLite.dll', BetterSongSearch(BetterSongSearch@0.7.89)(BetterSongSearch.Plugin) from 'Plugins\BetterSongSearch.dll', Tweaks55(Tweaks55@0.3.16)(Tweaks55.Plugin) from 'Plugins\Tweaks55.dll', NoteCutGuide(NoteCutGuide@0.2.7)(NoteCutGuide.Plugin) from 'Plugins\NoteCutGuide.dll', CustomSaberColors(CustomSaberColors@0.2.5)(CustomSaberColors.Plugin) from 'Plugins\CustomSaberColors.dll', Gotta Go Fast(GottaGoFast@0.2.4)(GottaGoFast.Plugin) from 'Plugins\GottaGoFast.dll', ScoreSaberSharp(ScoreSaberSharp@0.1.0)() from 'Plugins\ScoreSaberSharp.manifest', SM64BS(SM64BS@0.0.4)(SM64BS.Plugin) from 'Plugins\SM64BS.dll'
[WARNING @ 01:38:23 | UnityEngine] OnLevelWasLoaded was found on PluginComponent
[WARNING @ 01:38:23 | UnityEngine] This message has been deprecated and will be removed in a later version of Unity.
[WARNING @ 01:38:23 | UnityEngine] Add a delegate to SceneManager.sceneLoaded instead to get notifications after scene loading has completed
[WARNING @ 01:38:23 | IPA/Loader] Mod BeatSaberMarkupLanguage developed for game version 1.37.4, so it may not work properly.
[DEBUG @ 01:38:24 | IPA/Config] Generated impl ReadFrom BeatSaberMarkupLanguage.Config<Generated>
[WARNING @ 01:38:24 | IPA/Loader] Mod SiraUtil developed for game version 1.37.4, so it may not work properly.
[DEBUG @ 01:38:24 | IPA/Config] Generated impl WriteTo BeatSaberMarkupLanguage.Config<Generated>
[DEBUG @ 01:38:24 | IPA/Config] Generated impl ReadFrom SiraUtil.Config<Generated>
[DEBUG @ 01:38:24 | IPA/Config] Generated impl WriteTo SiraUtil.Config<Generated>
[DEBUG @ 01:38:24 | IPA/Config] Generated impl WriteTo SiraUtil.Config<Generated>
[DEBUG @ 01:38:24 | IPA/Config] Generated impl ReadFrom JDFixer.PluginConfig<Generated>
[DEBUG @ 01:38:24 | IPA/Config] Generated impl WriteTo JDFixer.PluginConfig<Generated>
[WARNING @ 01:38:24 | IPA/Loader] Mod System.IO.Compression developed for game version 1.29.4, so it may not work properly.
[WARNING @ 01:38:24 | IPA/Loader] Mod System.IO.Compression.FileSystem developed for game version 1.29.4, so it may not work properly.
[DEBUG @ 01:38:24 | IPA/Config] Generated impl ReadFrom SongCore.SConfiguration<Generated>
[DEBUG @ 01:38:24 | IPA/Config] Generated impl WriteTo SongCore.SConfiguration<Generated>
[WARNING @ 01:38:24 | IPA/Loader] Mod BS_Utils developed for game version 1.37.5, so it may not work properly.
[DEBUG @ 01:38:24 | Chirality] Logger initialized.
[DEBUG @ 01:38:24 | IPA/Config] Generated impl ReadFrom Chirality.Configuration.PluginConfig<Generated>
[DEBUG @ 01:38:24 | Chirality] Config loaded
[WARNING @ 01:38:24 | IPA/Loader] Mod Intro Skip developed for game version 1.37.5, so it may not work properly.
[DEBUG @ 01:38:24 | IPA/Config] Generated impl WriteTo Chirality.Configuration.PluginConfig<Generated>
[DEBUG @ 01:38:24 | IPA/Config] Generated impl ReadFrom IntroSkip.Config<Generated>
[DEBUG @ 01:38:24 | IPA/Config] Generated impl WriteTo IntroSkip.Config<Generated>
[DEBUG @ 01:38:24 | IPA/Config] Generated impl ReadFrom HitScoreVisualizer.Settings.HSVConfig<Generated>
[DEBUG @ 01:38:24 | IPA/Config] Generated impl WriteTo HitScoreVisualizer.Settings.HSVConfig<Generated>
[DEBUG @ 01:38:24 | SiraUtil] Found bind attribute in type 'ScoreSaber.Core.ReplaySystem.HarmonyPatches.FPFCPatch'
[WARNING @ 01:38:24 | IPA/Loader] Mod DiscordGameSDK developed for game version 1.16.4, so it may not work properly.
[WARNING @ 01:38:24 | IPA/Loader] Mod protobuf-net developed for game version 1.13.2, so it may not work properly.
[WARNING @ 01:38:24 | IPA/Loader] Mod Enhancements developed for game version 1.37.5, so it may not work properly.
[DEBUG @ 01:38:24 | IPA/Config] Generated impl ReadFrom Enhancements.Config<Generated>
[DEBUG @ 01:38:24 | IPA/Config] Generated impl WriteTo Enhancements.Config<Generated>
[DEBUG @ 01:38:24 | IPA/Config] Generated impl WriteTo Enhancements.Config<Generated>
[WARNING @ 01:38:24 | IPA/Loader] Mod DiscordCore developed for game version 1.37.4, so it may not work properly.
[DEBUG @ 01:38:24 | DiscordCore] DiscordManager Awake
[INFO @ 01:38:24 | DiscordCore] DiscordClient enabled.
[WARNING @ 01:38:24 | IPA/Loader] Mod CustomJSONData developed for game version 1.37.5, so it may not work properly.
[DEBUG @ 01:38:24 | IPA/Config] Generated impl ReadFrom Heck.Settings.Config<Generated>
[DEBUG @ 01:38:24 | IPA/Config] Generated impl WriteTo Heck.Settings.Config<Generated>
[WARNING @ 01:38:24 | IPA/Loader] Mod LookupID developed for game version 1.21.0, so it may not work properly.
[DEBUG @ 01:38:24 | IPA/Config] Generated impl ReadFrom Chroma.Settings.Config<Generated>
[DEBUG @ 01:38:24 | IPA/Config] Generated impl WriteTo Chroma.Settings.Config<Generated>
[WARNING @ 01:38:24 | IPA/Loader] Mod AssetBundleLoadingTools developed for game version 1.37.4, so it may not work properly.
[DEBUG @ 01:38:24 | IPA/Config] Generated impl ReadFrom AssetBundleLoadingTools.Config.PluginConfig<Generated>
[DEBUG @ 01:38:24 | IPA/Config] Generated impl WriteTo AssetBundleLoadingTools.Config.PluginConfig<Generated>
[INFO @ 01:38:25 | AssetBundleLoadingTools] Loading shaderbundles...
[INFO @ 01:38:25 | AssetBundleLoadingTools] Loaded 6 manifests containing 644 shaders.
[WARNING @ 01:38:26 | IPA/Loader] Mod CameraUtils developed for game version 1.33.0, so it may not work properly.
[WARNING @ 01:38:26 | IPA/Loader] Mod CustomNotes developed for game version 1.37.5, so it may not work properly.
[DEBUG @ 01:38:26 | IPA/Config] Generated impl ReadFrom CustomNotes.Settings.Utilities.PluginConfig<Generated>
[DEBUG @ 01:38:26 | IPA/Config] Generated impl WriteTo CustomNotes.Settings.Utilities.PluginConfig<Generated>
[WARNING @ 01:38:26 | IPA/Loader] Mod Counters+ developed for game version 1.37.5, so it may not work properly.
[DEBUG @ 01:38:26 | IPA/Loader/Features] Executing DefineFeature AfterInit
[DEBUG @ 01:38:26 | IPA/Config] Generated impl ReadFrom CountersPlus.ConfigModels.MainConfigModel<Generated>
[DEBUG @ 01:38:26 | IPA/Config] Generated impl WriteTo CountersPlus.ConfigModels.MainConfigModel<Generated>
[DEBUG @ 01:38:26 | IPA/LibraryLoader] Resolving library BeatSaverSharp, Version=3.4.5.0, Culture=neutral, PublicKeyToken=null
[DEBUG @ 01:38:26 | IPA/LibraryLoader] Looking for file BeatSaverSharp.dll
[DEBUG @ 01:38:26 | IPA/LibraryLoader] Found file BeatSaverSharp.dll as A:\!BSManager\Installed Versions\BSManager\BSInstances\1.38.0\Libs\BeatSaverSharp.dll
[WARNING @ 01:38:26 | IPA/Loader] Mod BeatTogether developed for game version 1.37.5, so it may not work properly.
[DEBUG @ 01:38:26 | IPA/Config] Generated impl ReadFrom BeatTogether.Config<Generated>
[DEBUG @ 01:38:26 | IPA/Config] Generated impl WriteTo BeatTogether.Config<Generated>
[WARNING @ 01:38:26 | IPA/Loader] Mod websocket-sharp developed for game version 1.13.0, so it may not work properly.
[WARNING @ 01:38:26 | IPA/Loader] Mod BetterSongList developed for game version 1.37.4, so it may not work properly.
[DEBUG @ 01:38:26 | IPA/Config] Generated impl ReadFrom BetterSongList.Config<Generated>
[WARNING @ 01:38:26 | IPA/Loader] Mod SongDetailsCache developed for game version 1.13.2, so it may not work properly.
[DEBUG @ 01:38:26 | IPA/Config] Generated impl WriteTo BetterSongList.Config<Generated>
[DEBUG @ 01:38:26 | IPA/LibraryLoader] Resolving library websocket-sharp, Version=1.0.2.1803, Culture=neutral, PublicKeyToken=5660b08a1845a91e
[DEBUG @ 01:38:26 | IPA/LibraryLoader] Looking for file websocket-sharp.dll
[DEBUG @ 01:38:26 | IPA/LibraryLoader] Found file websocket-sharp.dll as A:\!BSManager\Installed Versions\BSManager\BSInstances\1.38.0\Libs\websocket-sharp.dll
[DEBUG @ 01:38:27 | DataPuller] Logger initialized.
[DEBUG @ 01:38:27 | DataPuller] Apply Harmony patches
[DEBUG @ 01:38:27 | DataPuller] Initialize Server.
[DEBUG @ 01:38:27 | DataPuller] Initialize ModData.
[DEBUG @ 01:38:27 | DataPuller] HandlePluginsStateChanged
[WARNING @ 01:38:27 | IPA/Loader] Mod EasyOffset developed for game version 1.37.5, so it may not work properly.
[DEBUG @ 01:38:27 | IPA/Config] Generated impl ReadFrom EasyOffset.ConfigFileData<Generated>
[DEBUG @ 01:38:27 | IPA/Config] Generated impl WriteTo EasyOffset.ConfigFileData<Generated>
[NOTICE @ 01:38:27 | IPA/Loader] Plugin SongPlayHistory has no methods marked [OnExit] or [OnDisable]. Is this intentional?
[DEBUG @ 01:38:27 | IPA/Config] Generated impl ReadFrom SongPlayHistory.Configuration.PluginConfig<Generated>
[DEBUG @ 01:38:27 | IPA/Config] Generated impl WriteTo SongPlayHistory.Configuration.PluginConfig<Generated>
[WARNING @ 01:38:27 | IPA/Loader] Mod LeaderboardCore developed for game version 1.37.4, so it may not work properly.
[DEBUG @ 01:38:27 | IPA/Config] Generated impl ReadFrom LeaderboardCore.Configuration.PluginConfig<Generated>
[WARNING @ 01:38:27 | IPA/Loader] Mod NoodleExtensions developed for game version 1.37.5, so it may not work properly.
[DEBUG @ 01:38:27 | IPA/Config] Generated impl WriteTo LeaderboardCore.Configuration.PluginConfig<Generated>
[DEBUG @ 01:38:27 | IPA/Config] Generated impl ReadFrom BeatLeader.ConfigFileData<Generated>
[DEBUG @ 01:38:27 | IPA/Config] Generated impl WriteTo BeatLeader.ConfigFileData<Generated>
[WARNING @ 01:38:28 | IPA/Loader] Mod PPCounter developed for game version 1.37.5, so it may not work properly.
[DEBUG @ 01:38:28 | IPA/Config] Generated impl ReadFrom PPCounter.Settings.PluginSettings<Generated>
[DEBUG @ 01:38:28 | IPA/Config] Generated impl WriteTo PPCounter.Settings.PluginSettings<Generated>
[NOTICE @ 01:38:28 | Counters+] Loaded a Custom Counter (PP Counter).
[WARNING @ 01:38:28 | IPA/Loader] Mod ParticleOverdrive developed for game version 1.37.4, so it may not work properly.
[WARNING @ 01:38:28 | IPA/Loader] Mod MappingExtensions developed for game version 1.35.0, so it may not work properly.
[WARNING @ 01:38:28 | IPA/Loader] Mod BeatSaberPlaylistsLib developed for game version 1.37.4, so it may not work properly.
[WARNING @ 01:38:28 | IPA/Loader] Mod PlaylistManager developed for game version 1.37.4, so it may not work properly.
[DEBUG @ 01:38:28 | IPA/Config] Generated impl ReadFrom PlaylistManager.Configuration.PluginConfig<Generated>
[DEBUG @ 01:38:28 | PlaylistManager] Config loaded
[WARNING @ 01:38:28 | IPA/Loader] Mod CustomWalls developed for game version 1.37.5, so it may not work properly.
